                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00046,                 0.0051,                0.00025,                  7e-05,                    nan,                    nan,                    nan,             0.00017441,             0.00017441,             0.00017441
                      2,                    nan,                    nan,                    nan,                0.00046,                 0.0051,                0.00025,                  7e-05,                    nan,                    nan,                    nan,             0.00034281,             0.00034281,             0.00034281
                      3,                    nan,                    nan,                    nan,                0.00044,                 0.0051,                0.00024,                  7e-05,                    nan,                    nan,                    nan,             0.00050428,             0.00050428,             0.00050428
                      4,                    nan,                    nan,                    nan,                0.00046,                 0.0051,                0.00025,                  8e-05,                    nan,                    nan,                    nan,             0.00049476,             0.00049476,             0.00049476
